,fiscal_year,emissions,ticker,total_revenue,company_name,out_shares,average_price,last_price
0,2013,28626.715004277,RENT3,3506.235,Localiza Rent a Car S.A.,687917088.0,10.117982991280094,10.034769058227539
1,2014,32744.762002053,RENT3,3892.216,Localiza Rent a Car S.A.,688942969.0,10.532696462446644,10.736205101013184
2,2015,22702.0786552883,RENT3,3928.095,Localiza Rent a Car S.A.,688468452.0,9.135224303578942,7.504157066345215
3,2016,25105.935384766002,RENT3,4439.273,Localiza Rent a Car S.A.,688867905.0,10.180512926185944,10.346181869506836
4,2017,39931.237248264704,RENT3,6058.279,Localiza Rent a Car S.A.,693199612.0,15.682603456842617,21.009523391723633
5,2018,17051.05079031015,RENT3,7626.654,Localiza Rent a Car S.A.,694976296.0,24.17706461536641,28.333332061767578
6,2019,19539.624119494958,RENT3,10195.637,Localiza Rent a Car S.A.,755566939.0,37.59032716635268,47.40999984741211
7,2016,747.4083848235781,GPIV33,114.843,"GP Investments, Ltd.",109089896.0,7.088056687884003,6.960000038146973
8,2017,253.67036021664399,GPIV33,148.821,"GP Investments, Ltd.",109745820.0,6.504541835936892,5.769999980926514
9,2018,160.004094385642,GPIV33,-106.821,"GP Investments, Ltd.",109636216.0,5.3095338667853405,4.619999885559082
10,2019,412.9074679424949,GPIV33,181.69,"GP Investments, Ltd.",109745820.0,5.196393444889882,6.289999961853027
11,2013,18665.9084425922,LAME4,13401.172,Lojas Americanas S.A.,1419851258.0,10.898606860807156,10.450881958007812
12,2014,75339.9124000015,LAME4,16145.669,Lojas Americanas S.A.,1421333629.0,11.569833282501467,14.317643165588379
13,2015,77203.1797999356,LAME4,17926.155,Lojas Americanas S.A.,1411656327.0,14.080277787960641,16.111499786376953
14,2016,58691.9662000426,LAME4,18103.512,Lojas Americanas S.A.,1426411690.0,17.085528124767134,16.94198989868164
15,2017,44348.1866438016,LAME4,16345.589,Lojas Americanas S.A.,1595091841.666666,16.38103677719597,16.991819381713867
16,2018,35350.681178066705,LAME4,17689.862,Lojas Americanas S.A.,1598353245.0,17.274402992092835,19.632776260375977
17,2019,43203.1839812224,LAME4,18956.331,Lojas Americanas S.A.,1603077245.0,18.702625270797174,25.90999984741211
18,2013,566170.8007499729,CPLE6,9180.214,Companhia Paranaense de Energia - COPEL,273655375.0,3.118528227652273,3.052999973297119
19,2014,658037.952149999,CPLE6,13995.506,Companhia Paranaense de Energia - COPEL,273655375.0,3.278463707816216,3.627000093460083
20,2015,661515.402249983,CPLE6,14945.844,Companhia Paranaense de Energia - COPEL,273655375.0,3.2490975633869326,2.430000066757202
21,2016,594687.226049913,CPLE6,13101.753,Companhia Paranaense de Energia - COPEL,273655375.0,2.881309230643583,2.7360000610351562
22,2017,533773.181899999,CPLE6,14024.573,Companhia Paranaense de Energia - COPEL,2736553750.0,2.8204645669366433,2.494999885559082
23,2018,395450.203900009,CPLE6,14934.78,Companhia Paranaense de Energia - COPEL,2736553750.0,2.4542734730000397,3.055000066757202
24,2019,245684.24260003,CPLE6,15869.245,Companhia Paranaense de Energia - COPEL,2739827040.0,4.673858297981232,6.9070000648498535
25,2013,11894289.238185946,CSNA3,17312.432,Companhia Siderúrgica Nacional,1457970108.0,9.40612901795295,14.380000114440918
26,2014,11254210.560936324,CSNA3,16126.232,Companhia Siderúrgica Nacional,1380732747.0,9.528629051100824,5.650000095367432
27,2015,7573037.999566365,CSNA3,15261.697,Companhia Siderúrgica Nacional,1357133047.0,5.202886181149056,4.0
28,2016,11329720.93666414,CSNA3,17148.949,Companhia Siderúrgica Nacional,1357130000.0,8.672570278366885,10.850000381469727
29,2017,12385783.842546683,CSNA3,18524.601,Companhia Siderúrgica Nacional,1357133047.0,8.923464553562676,8.380000114440918
30,2018,13360428.828860186,CSNA3,22968.885,Companhia Siderúrgica Nacional,1380114547.0,9.079959184296277,8.84000015258789
31,2019,10147262.323,CSNA3,25436.417,Companhia Siderúrgica Nacional,1380114547.0,14.011740904587965,14.109999656677246
32,2013,11531601.83099995,BRKM5,40969.49,Braskem S.A.,795813681.0,16.89544347024733,21.0
33,2014,11406441.583399959,BRKM5,46031.389,Braskem S.A.,795813681.0,16.529838754284768,17.5
34,2015,10095325.68500008,BRKM5,46879.989,Braskem S.A.,795733681.0,15.787886169867788,27.6200008392334
35,2016,10227484.035300003,BRKM5,47663.988,Braskem S.A.,795733681.0,24.158514076447393,34.25
36,2017,11255271.732919479,BRKM5,49260.594,Braskem S.A.,795733681.0,37.903779578021194,42.869998931884766
37,2018,11016841.870899983,BRKM5,57999.866,Braskem S.A.,795733681.0,50.52689808436802,47.380001068115234
38,2019,10649229.9508,BRKM5,52323.525,Braskem S.A.,795741840.0,38.528380482785614,29.850000381469727
39,2015,1707477.8349004856,VIVT3,40286.815,Telefônica Brasil S.A.,1688694025.0,36.75829269440194,33.9900016784668
40,2016,1699778.4698503793,VIVT3,42508.459,Telefônica Brasil S.A.,1688694025.0,35.81092374104573,36.400001525878906
41,2017,158418.098599983,VIVT3,43206.832,Telefônica Brasil S.A.,1688693759.0,38.86681104645016,41.20000076293945
42,2018,101785.00469995881,VIVT3,43462.74,Telefônica Brasil S.A.,1688693776.0,40.923918494399715,41.290000915527344
43,2019,212015.0181999429,VIVT3,44268.171,Telefônica Brasil S.A.,1688693776.0,43.736680142792615,49.040000915527344
44,2013,10072358.20508966,GGBR4,39863.037,Gerdau S.A.,1700868701.0,16.013157856126547,18.34000015258789
45,2014,9290626.68145174,GGBR4,42546.339,Gerdau S.A.,1704469010.0,13.312620985892512,9.579999923706055
46,2015,7233912.49581014,GGBR4,43581.241,Gerdau S.A.,1686458510.0,7.70447152029208,4.650000095367432
47,2016,6745011.03210246,GGBR4,37651.667,Gerdau S.A.,1707500678.0,7.676626507058201,10.800000190734863
48,2017,7264100.547554551,GGBR4,36917.619,Gerdau S.A.,1709230779.0,11.186456680297852,12.380000114440918
49,2018,7386003.69023454,GGBR4,46159.478,Gerdau S.A.,1702135609.0,15.695102037702288,14.819999694824219
50,2019,11947505.00339999,GGBR4,39644.01,Gerdau S.A.,1697492009.0,14.701821852309502,20.0
51,2020,11280922.0,GGBR4,43814.661,Gerdau S.A.,1701161432.0,17.88429150986768,24.450000762939453
52,2013,640805.550494322,UGPA3,60940.246,Ultrapar Participações S.A.,1072824880.0,26.700483875889933,27.975000381469727
53,2014,667744.7449424451,UGPA3,67736.298,Ultrapar Participações S.A.,1097333880.0,26.6858871060033,25.604999542236328
54,2015,691993.625076147,UGPA3,75655.274,Ultrapar Participações S.A.,1089019480.0,32.12150400053195,30.225000381469727
55,2016,614422.059729098,UGPA3,77352.955,Ultrapar Participações S.A.,1086167480.0,34.336726858912705,34.224998474121094
56,2017,597488.8860437159,UGPA3,79230.014,Ultrapar Participações S.A.,1086747480.0,36.430177117895894,37.5
57,2018,530582.7231500209,UGPA3,90697.983,Ultrapar Participações S.A.,1086187482.0,27.173938774575994,26.600000381469727
58,2019,497876.0176566054,UGPA3,89297.975,Ultrapar Participações S.A.,1086029894.0,21.79975707714374,25.479999542236328
59,2013,73386754.30739996,PETR4,273589.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,18.24677421969752,17.079999923706055
60,2014,81023314.23700026,PETR4,305671.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,16.67915323472792,10.029999732971191
61,2015,77788500.89227678,PETR4,301826.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,9.798008114341798,6.699999809265137
62,2016,66517145.75887923,PETR4,282589.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,10.772610432651627,14.869999885559082
63,2017,67060297.72810595,PETR4,258454.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,14.605275608423188,16.100000381469727
64,2018,61810518.99332244,PETR4,310255.0,Petróleo Brasileiro S.A. - Petrobras,13044496930.0,21.00722449944944,22.68000030517578
65,2019,59073095.675000004,PETR4,263827.0,Petróleo Brasileiro S.A. - Petrobras,13044201261.0,27.24898788513925,30.18000030517578
66,2013,765778.210536518,CMIG4,14627.28,Companhia Energética de Minas Gerais,1258304993.0,12.862857676321461,11.699322700500488
67,2014,1476000.401852936,CMIG4,19539.578,Companhia Energética de Minas Gerais,1258280936.0,12.972938241497163,10.972811698913574
68,2015,974291.770500871,CMIG4,21867.842,Companhia Energética de Minas Gerais,1310040637.0,8.76266168966526,5.1189751625061035
69,2016,568413.5627880485,CMIG4,18772.656,Companhia Energética de Minas Gerais,1460664340.0,6.2080869636382445,6.438385009765625
70,2017,713444.3426981228,CMIG4,21711.69,Companhia Energética de Minas Gerais,1460664340.0,7.109918633783896,5.918185234069824
71,2018,553939.4799499591,CMIG4,22266.217,Companhia Energética de Minas Gerais,1692729201.0,7.394997431307423,11.93974494934082
72,2019,650613.0838999469,CMIG4,25486.973,Companhia Energética de Minas Gerais,1692729201.0,12.085180386840573,11.879443168640137
73,2013,259452.2934349911,LIGT3,7422.256,Light S.A.,203934060.0,19.056653215039162,22.1200008392334
74,2014,439320.1820499774,LIGT3,9200.832,Light S.A.,203934060.0,20.09149189918272,17.020000457763672
75,2015,409842.2872501001,LIGT3,10912.673,Light S.A.,203934060.0,14.040813015728462,9.899999618530273
76,2016,269432.9080198371,LIGT3,9645.237,Light S.A.,203934060.0,12.237349435507532,17.360000610351562
77,2017,265549.4269237729,LIGT3,11314.559,Light S.A.,203934060.0,20.188267786671798,16.690000534057617
78,2018,211628.7947000812,LIGT3,11970.547,Light S.A.,203934060.0,14.516244907768405,16.5
79,2019,224674.5776749838,LIGT3,13389.567,Light S.A.,303934060.0,19.811740898410317,23.760000228881836
80,2013,624590.070400029,BRFS3,27787.477,BRF S.A.,870314042.0,49.05931455858292,48.83000183105469
81,2014,702530.9328000289,BRFS3,29006.843,BRF S.A.,867284349.0,53.41060490762034,63.439998626708984
82,2015,683607.044900018,BRFS3,32196.601,BRF S.A.,793998685.0,64.67817052205403,55.400001525878906
83,2016,714646.388150003,BRFS3,33732.9,BRF S.A.,798975726.0,50.802168681439625,48.25
84,2017,747984.177250034,BRFS3,28314.16,BRF S.A.,811139545.0,41.644133800596705,36.599998474121094
85,2018,430396.27929997497,BRFS3,30188.421,BRF S.A.,811339645.0,24.23497959059112,21.93000030517578
86,2019,527404.511524975,BRFS3,33446.98,BRF S.A.,811759800.0,30.966518239936367,35.20000076293945
87,2013,163838.4902999284,EMBR3,13635.846,Embraer S.A.,1210143553.0,18.082661309549884,18.889999389648438
88,2014,143206.8910499649,EMBR3,14935.91,Embraer S.A.,1214030431.0,21.23306453612543,24.440000534057617
89,2015,140108.9004625548,EMBR3,20301.771,Embraer S.A.,1215780710.0,25.023658512084463,30.190000534057617
90,2016,134065.9946937957,EMBR3,21435.696,Embraer S.A.,1213798283.0,19.47152611912494,16.0
91,2017,53673.3459265817,EMBR3,18776.086,Embraer S.A.,1212151718.0,16.810750968842637,20.0
92,2018,42412.494140702984,EMBR3,7888.033,Embraer S.A.,1213623865.0,21.135469358794545,21.68000030517578
93,2019,44798.92425405293,EMBR3,21802.075,Embraer S.A.,735919756.0,18.863967594347503,19.729999542236328
94,2020,34054.652,EMBR3,19641.764,Embraer S.A.,736173106.0,9.94028341818435,8.850000381469727
95,2017,938230.9639000063,RAIL3,5946.349,Rumo S.A.,1559015898.0,9.88693549940663,12.970000267028809
96,2018,959750.8872000213,RAIL3,6584.936,Rumo S.A.,1559015898.0,14.401714278240593,17.0
97,2019,953173.9903999787,RAIL3,7087.84,Rumo S.A.,1559015898.0,21.073522266588714,26.100000381469727
98,2013,75008.4275507452,GFSA3,2481.211,Gafisa S.A.,31518114.0,26.240929742013254,25.289325714111328
99,2014,67883.1126134726,GFSA3,1580.861,Gafisa S.A.,29479030.0,22.52216641364559,15.711666107177734
100,2015,49490.40602973389,GFSA3,1443.357,Gafisa S.A.,27255073.0,16.77337144448505,17.43349266052246
101,2017,14769.63616688853,GFSA3,923.181,Gafisa S.A.,27067815.0,12.774812043182493,18.45635986328125
102,2017,14769.63616688853,GFSA3,786.174,Gafisa S.A.,27067815.0,12.774812043182493,18.45635986328125
103,2018,19983.01699654806,GFSA3,960.891,Gafisa S.A.,45858522.0,11.802798333459972,15.244988441467285
104,2019,7116.158242921169,GFSA3,400.465,Gafisa S.A.,116915232.0,7.280791983430685,8.670000076293945
105,2020,11698.947,GFSA3,884.045,Gafisa S.A.,300334531.0,5.132185249676106,4.349999904632568
106,2013,79572.1814750364,ITUB4,64517.0,Itaú Unibanco Holding S.A.,9899220604.0,15.584697600333921,16.0631103515625
107,2014,107557.74649993249,ITUB4,75856.0,Itaú Unibanco Holding S.A.,9938957258.0,18.382703523482046,19.0633602142334
108,2015,104489.26832498511,ITUB4,70676.0,Itaú Unibanco Holding S.A.,9817647185.0,18.27917706869482,15.957574844360352
109,2017,74807.91239988901,ITUB4,94067.0,Itaú Unibanco Holding S.A.,9694316976.0,26.389081046337218,28.38666534423828
110,2017,74807.91239988901,ITUB4,90557.0,Itaú Unibanco Holding S.A.,9694316976.0,26.389081046337218,28.38666534423828
111,2018,70419.075799953,ITUB4,94018.0,Itaú Unibanco Holding S.A.,9718136677.0,31.584815986789003,35.5
112,2019,57240.0081063089,ITUB4,98512.0,Itaú Unibanco Holding S.A.,9744708787.0,35.37295554620534,37.099998474121094
113,2013,76079.1598500117,BBAS3,61742.838,Banco do Brasil S.A.,3760087960.0,25.029677421815933,24.399999618530273
114,2014,105593.00899995891,BBAS3,48453.411,Banco do Brasil S.A.,3735569468.0,25.49544357484387,23.770000457763672
115,2015,101904.8902999732,BBAS3,50294.54,Banco do Brasil S.A.,3730946892.0,20.9305284895548,14.739999771118164
116,2016,115314.227204921,BBAS3,55873.394,Banco do Brasil S.A.,3723144591.0,20.640441810270868,28.09000015258789
117,2017,67345.9775999868,BBAS3,58105.764,Banco do Brasil S.A.,3723347612.0,31.583700675663987,31.81999969482422
118,2018,66069.2929499641,BBAS3,60334.372,Banco do Brasil S.A.,3723924792.0,35.99848977692273,46.4900016784668
119,2019,67231.0682625133,BBAS3,61745.862,Banco do Brasil S.A.,3725659505.0,49.23145754424184,52.81999969482422
120,2013,6136.722567102585,CESP6,3904.102,CESP - Companhia Energética de São Paulo,327502673.0,21.116249968928674,22.420000076293945
121,2014,6271.801495304153,CESP6,4699.251,CESP - Companhia Energética de São Paulo,327502673.0,26.333346766810262,27.020000457763672
122,2015,4041.930043604965,CESP6,2950.982,CESP - Companhia Energética de São Paulo,327502673.0,19.47434961892725,13.399999618530273
123,2016,4456.801800004767,CESP6,1668.59,CESP - Companhia Energética de São Paulo,327502673.0,13.787630521628751,13.489999771118164
124,2017,1513.480000049097,CESP6,1476.615,CESP - Companhia Energética de São Paulo,327502673.0,15.555866113797887,13.199999809265137
125,2018,1466.7526530337318,CESP6,1634.11,CESP - Companhia Energética de São Paulo,327502673.0,16.730491763255635,21.799999237060547
126,2019,1184.003205469942,CESP6,1571.296,CESP - Companhia Energética de São Paulo,327502673.0,26.770202435945208,31.940000534057617
127,2020,1076.263,CESP6,1917.248,CESP - Companhia Energética de São Paulo,327502673.0,29.166680200862498,28.969999313354492
128,2017,942590.0009874007,SUZB3,10580.673,Suzano S.A.,1099039951.0,18.914324270712363,18.690000534057617
129,2018,1043546.0839000542,SUZB3,13443.376,Suzano S.A.,1093784141.0,37.745346949051836,38.08000183105469
130,2019,2213636.526449934,SUZB3,26012.95,Suzano S.A.,1349221580.0,37.626680181094024,39.68000030517578
131,2013,15466122.337400042,VALE3,101490.0,Vale S.A.,5153374926.0,34.81887100588891,35.709999084472656
132,2014,15907068.18382732,VALE3,82619.0,Vale S.A.,5153375208.0,29.112499990770893,21.90999984741211
133,2015,16280680.634199899,VALE3,78057.0,Vale S.A.,5153374926.0,18.60243907788905,13.029999732971191
134,2016,14801781.37329999,VALE3,94633.0,Vale S.A.,5153374926.0,17.641526076688343,25.68000030517578
135,2017,15163594.548077779,VALE3,108532.0,Vale S.A.,5110399800.0,31.29700777849813,40.2599983215332
136,2018,14293513.3443,VALE3,134483.0,Vale S.A.,5160594363.0,49.95289792430644,51.0
137,2019,12599340.21674998,VALE3,148640.0,Vale S.A.,5128282457.0,49.19769229966137,53.29999923706055
138,2016,98011.0154774601,ALPA4,4054.404,Alpargatas S.A.,578816717.0,7.547726924160877,8.008000373840332
139,2017,102092.53890743891,ALPA4,3721.863,Alpargatas S.A.,578816717.0,11.057007898495891,13.960000038146973
140,2018,92166.0183282206,ALPA4,3380.217,Alpargatas S.A.,578816717.0,11.628179612451671,13.616000175476074
141,2019,80190.3910297903,ALPA4,3279.751,Alpargatas S.A.,578816719.0,21.19029152055501,33.20000076293945
142,2020,55136.347,ALPA4,3364.278,Alpargatas S.A.,578911428.0,33.11704454923931,42.0
143,2018,61749186.66447658,BRDT3,97770.0,Petrobras Distribuidora S.A.,1165000000.0,21.05746181120122,25.700000762939453
144,2019,58499612.013179675,BRDT3,94985.0,Petrobras Distribuidora S.A.,1165000000.0,26.04777329942958,30.06999969482422
145,2013,12138246.5374001,ELET6,23835.644,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,10.394354812560543,9.930000305175781
146,2014,11991089.45209995,ELET6,30137.807,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,9.920887076085613,8.140000343322754
147,2015,10253169.45830006,ELET6,32180.843,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,8.573902436388217,10.4399995803833
148,2016,9063291.849800061,ELET6,31715.45,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,18.371726913145746,25.889999389648438
149,2017,7688643.98240006,ELET6,24518.505,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,21.634133868330107,22.700000762939453
150,2018,6020627.638100049,ELET6,25772.305,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,22.03436737060547,28.170000076293945
151,2019,5886781.402000001,ELET6,29714.264,Centrais Elétricas Brasileiras S.A. - Eletrobrás,1352634100.0,38.17052624968865,38.2400016784668
152,2013,574895.9142250291,ITSA4,5289.0,Itaúsa - Investimentos Itaú SA,8009603935.0,6.032060394364018,6.001063823699951
153,2014,711649.554499964,ITSA4,5021.0,Itaúsa - Investimentos Itaú SA,8123690999.0,6.738196480658747,6.992318153381348
154,2015,601242.965039994,ITSA4,4885.0,Itaúsa - Investimentos Itaú SA,8173867377.0,6.85454336996001,5.64857292175293
155,2016,482496.584300022,ITSA4,4687.0,Itaúsa - Investimentos Itaú SA,8143617486.0,7.001049809666522,7.477791786193848
156,2017,490029.682500066,ITSA4,4969.0,Itaúsa - Investimentos Itaú SA,8220992859.0,9.006563154731209,9.836362838745117
157,2018,363230.911399992,ITSA4,5375.0,Itaúsa - Investimentos Itaú SA,8410697988.0,10.989673299205547,12.079999923706055
158,2019,316368.661090119,ITSA4,5008.0,Itaúsa - Investimentos Itaú SA,8410814930.0,12.755060728744938,14.09000015258789
159,2013,199268.03742503698,OIBR4,28422.147,Oi S.A.,164002793.0,50.30524183088733,35.900001525878906
160,2014,276240.287399986,OIBR4,28247.099,Oi S.A.,842766134.0,22.109153266875975,8.609999656677246
161,2015,250145.7770749841,OIBR4,27353.765,Oi S.A.,667779998.0,4.558821137358502,1.9500000476837158
162,2016,207700.348787495,OIBR4,25996.423,Oi S.A.,675667143.0,1.8722891556211265,2.25
163,2017,239823.7026749532,OIBR4,23789.654,Oi S.A.,675663819.0,3.5320078782209263,3.4700000286102295
164,2018,193295.3802124662,OIBR4,22060.014,Oi S.A.,2418816765.0,2.8417551030918045,1.2599999904632568
165,2019,214227.3786124118,OIBR4,10492.096,Oi S.A.,5952362165.0,1.515101213686862,1.2300000190734863
166,2013,45023.49779564169,BBDC4,47905.107,Banco Bradesco S.A.,9732816065.0,14.774708720945544,13.797820091247559
167,2014,76423.1297999619,BBDC4,57373.804,Banco Bradesco S.A.,9729674565.0,15.854854826004274,16.629480361938477
168,2015,63460.92180005311,BBDC4,51508.873,Banco Bradesco S.A.,9721022898.0,15.159928934360908,10.973749160766602
169,2016,51058.91579993634,BBDC4,80554.61,Banco Bradesco S.A.,9719079567.0,16.165945091400758,18.156774520874023
170,2017,55855.79432502276,BBDC4,73919.842,Banco Bradesco S.A.,9719079569.0,21.421493072209397,23.312671661376953
171,2018,51168.703475015995,BBDC4,71911.018,Banco Bradesco S.A.,9719079570.0,24.65784751736388,29.280302047729492
172,2019,48975.7224687154,BBDC4,84931.869,Banco Bradesco S.A.,9719079572.0,32.114506779412025,32.88181686401367
173,2016,69112.65331341661,MYPK3,6816.454,Iochpe-Maxion S.A.,94477329.0,14.159031860320923,11.457724571228027
174,2017,87209.2230449261,MYPK3,7487.94,Iochpe-Maxion S.A.,139641739.0,17.934987109477127,23.0
175,2018,620789.7086499629,MYPK3,9616.299,Iochpe-Maxion S.A.,149350668.0,23.05364749470695,23.809999465942383
176,2019,641389.725,MYPK3,10016.395,Iochpe-Maxion S.A.,152364512.0,20.534331989674435,23.3799991607666
177,2013,31102.4847130574,POMO4,3659.309,Marcopolo S.A.,894935010.0,6.366660810285999,5.060503959655762
