,fiscal_year,emissions,ticker,EBITDA,EBT,total_revenues,industry,company_name,out_shares,average_price,last_price
0,2013,28626.715004277,RENT3,916.526,541.503,3506.235,Road and Rail,Localiza Rent a Car S.A.,687917088.0,10.117982991280094,10.034769058227539
1,2014,32744.762002053,RENT3,963.384,575.588,3892.216,Road and Rail,Localiza Rent a Car S.A.,688942969.0,10.532696462446644,10.736205101013184
2,2015,22702.0786552883,RENT3,924.157,532.844,3928.095,Road and Rail,Localiza Rent a Car S.A.,688468452.0,9.135224303578942,7.504157066345215
3,2016,25105.935384766002,RENT3,1000.885,527.628,4439.273,Road and Rail,Localiza Rent a Car S.A.,688867905.0,10.180512926185944,10.346181869506836
4,2017,39931.237248264704,RENT3,1281.343,710.11,6058.279,Road and Rail,Localiza Rent a Car S.A.,693199612.0,15.682603456842617,21.009523391723633
5,2018,17051.05079031015,RENT3,1284.693,885.731,7626.654,Road and Rail,Localiza Rent a Car S.A.,694976296.0,24.17706461536641,28.333332061767578
6,2019,19539.624119494958,RENT3,1521.623,1079.834,10195.637,Road and Rail,Localiza Rent a Car S.A.,755566939.0,37.59032716635268,47.40999984741211
7,2016,747.4083848235781,GPIV33,68.26,11.52,114.843,Capital Markets,"GP Investments, Ltd.",109089896.0,7.088056687884003,6.960000038146973
8,2017,253.67036021664399,GPIV33,113.131,92.18,148.821,Capital Markets,"GP Investments, Ltd.",109745820.0,6.504541835936892,5.769999980926514
9,2018,160.004094385642,GPIV33,-135.154,-149.502,-106.821,Capital Markets,"GP Investments, Ltd.",109636216.0,5.3095338667853405,4.619999885559082
10,2019,412.9074679424949,GPIV33,150.819,144.918,181.69,Capital Markets,"GP Investments, Ltd.",109745820.0,5.196393444889882,6.289999961853027
11,2013,18665.9084425922,LAME4,1740.832,569.752,13401.172,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1419851258.0,10.898606860807156,10.450881958007812
12,2014,75339.9124000015,LAME4,2069.54,432.251,16145.669,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1421333629.0,11.569833282501467,14.317643165588379
13,2015,77203.1797999356,LAME4,2476.287,274.743,17926.155,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1411656327.0,14.080277787960641,16.111499786376953
14,2016,58691.9662000426,LAME4,2408.983,-72.472,18103.512,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1426411690.0,17.085528124767134,16.94198989868164
15,2017,44348.1866438016,LAME4,2140.637,87.483,16345.589,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1595091841.666666,16.38103677719597,16.991819381713867
16,2018,35350.681178066705,LAME4,2209.289,305.528,17689.862,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1598353245.0,17.274402992092835,19.632776260375977
17,2019,43203.1839812224,LAME4,2583.841,729.449,18956.331,Internet and Direct Marketing Retail,Lojas Americanas S.A.,1603077245.0,18.702625270797174,25.90999984741211
18,2013,566170.8007499729,CPLE6,1878.243,1658.327,9180.214,Electric Utilities,Companhia Paranaense de Energia - COPEL,273655375.0,3.118528227652273,3.052999973297119
19,2014,658037.952149999,CPLE6,2151.672,1735.287,13995.506,Electric Utilities,Companhia Paranaense de Energia - COPEL,273655375.0,3.278463707816216,3.627000093460083
20,2015,661515.402249983,CPLE6,2644.349,1627.765,14945.844,Electric Utilities,Companhia Paranaense de Energia - COPEL,273655375.0,3.2490975633869326,2.430000066757202
21,2016,594687.226049913,CPLE6,2530.703,1394.162,13101.753,Electric Utilities,Companhia Paranaense de Energia - COPEL,273655375.0,2.881309230643583,2.7360000610351562
22,2017,533773.181899999,CPLE6,2771.241,1392.941,14024.573,Electric Utilities,Companhia Paranaense de Energia - COPEL,2736553750.0,2.8204645669366433,2.494999885559082
